Age,Gender,Weight (kg),BMI,Avg_BPM,Session_Duration (hours),Calories_Burned,source,Exercise_Intensity,Weather_Conditions,Max_BPM_calc,HR_Intensity_Ratio,HR_Duration,Intensity_Duration,Weight_Duration,BMI_Duration,log_Calories
56,0,59.3,24.37,155,1.26,879.0,0,5.0,1,164,0.9451219512195121,195.3,6.3,74.718,30.706200000000003,6.779921907472252
35,1,96.9,33.14,145,1.34,1069.0,0,5.0,1,185,0.7837837837837838,194.3,6.7,129.846,44.4076,6.975413927455952
21,1,62.6,19.11,150,1.3,1072.0,0,5.0,1,199,0.7537688442211056,195.0,6.5,81.38000000000001,24.843,6.9782137426306985
42,1,45.5,17.77,163,1.31,1057.0,0,5.0,1,178,0.9157303370786517,213.53,6.550000000000001,59.605000000000004,23.2787,6.964135612418245
31,0,48.8,21.4,131,1.48,969.0,0,5.0,1,189,0.6931216931216931,193.88,7.4,72.22399999999999,31.671999999999997,6.877296071497429
26,0,44.3,17.3,136,1.08,734.0,0,5.0,1,194,0.7010309278350515,146.88,5.4,47.844,18.684,6.5998704992128365
43,1,113.2,33.8,134,1.45,962.0,0,5.0,1,177,0.7570621468926554,194.29999999999998,7.25,164.14,49.00999999999999,6.870053411798126
19,0,60.5,23.93,128,1.14,730.0,0,5.0,1,201,0.6368159203980099,145.92,5.699999999999999,68.97,27.280199999999997,6.594413459749778
37,1,124.2,40.1,158,1.5,1304.0,0,5.0,1,183,0.8633879781420765,237.0,7.5,186.3,60.150000000000006,7.173958319756794
45,1,52.4,15.31,161,1.2,956.0,0,5.0,1,175,0.92,193.2,6.0,62.879999999999995,18.372,6.863803391452954
24,1,54.7,18.07,167,0.84,772.0,0,5.0,1,196,0.8520408163265306,140.28,4.2,45.948,15.178799999999999,6.650279048587422
25,1,88.1,23.17,131,1.41,1016.0,0,5.0,1,195,0.6717948717948717,184.70999999999998,7.05,124.22099999999999,32.6697,6.92461239604856
52,0,59.7,20.42,151,1.23,836.0,0,5.0,1,168,0.8988095238095238,185.73,6.15,73.431,25.116600000000002,6.729824070489475
31,0,79.7,33.61,144,1.03,742.0,0,5.0,1,189,0.7619047619047619,148.32,5.15,82.09100000000001,34.6183,6.610696044717759
34,0,51.0,19.43,158,1.42,1122.0,0,5.0,1,186,0.8494623655913979,224.35999999999999,7.1,72.42,27.5906,7.023758954738443
53,1,84.2,27.18,137,1.67,1133.0,0,5.0,1,167,0.8203592814371258,228.79,8.35,140.614,45.3906,7.033506484287697
57,1,122.1,34.18,134,1.13,750.0,0,5.0,1,163,0.8220858895705522,151.42,5.6499999999999995,137.97299999999998,38.6234,6.621405651764134
21,1,96.7,32.69,151,1.26,1046.0,0,5.0,1,199,0.7587939698492462,190.26,6.3,121.842,41.1894,6.953684210870537
19,0,73.0,22.78,125,0.81,506.0,0,5.0,1,201,0.6218905472636815,101.25,4.050000000000001,59.13,18.451800000000002,6.2285110035911835
23,1,114.8,44.84,163,1.47,1318.0,0,5.0,1,197,0.8274111675126904,239.60999999999999,7.35,168.756,65.9148,7.1846291527173145
59,0,65.5,28.35,162,1.4,1021.0,0,5.0,1,161,1.0062111801242235,226.79999999999998,7.0,91.69999999999999,39.69,6.92951677076365
21,0,50.3,21.77,154,1.08,832.0,0,5.0,1,199,0.7738693467336684,166.32000000000002,5.4,54.324,23.5116,6.725033642166843
46,0,61.0,20.86,153,1.67,1150.0,0,5.0,1,174,0.8793103448275862,255.51,8.35,101.86999999999999,34.8362,7.048386408721883
35,0,44.6,16.99,157,0.56,440.0,0,5.0,1,185,0.8486486486486486,87.92,2.8000000000000003,24.976000000000003,9.5144,6.089044875446846
43,0,58.2,22.45,124,1.04,580.0,0,5.0,1,177,0.7005649717514124,128.96,5.2,60.528000000000006,23.348,6.364750756851911
51,0,44.8,16.86,137,1.08,666.0,0,5.0,1,169,0.8106508875739645,147.96,5.4,48.384,18.2088,6.502790045915623
27,1,87.5,32.93,135,1.75,1299.0,0,5.0,1,193,0.6994818652849741,236.25,8.75,153.125,57.6275,7.170119543449628
53,1,51.8,17.11,127,1.23,773.0,0,5.0,1,167,0.7604790419161677,156.21,6.15,63.714,21.045299999999997,6.651571873589727
31,0,64.4,22.28,144,1.97,1418.0,0,5.0,1,189,0.7619047619047619,283.68,9.85,126.86800000000001,43.891600000000004,7.257707677160043
48,0,67.1,25.89,151,0.62,421.0,0,5.0,1,172,0.877906976744186,93.62,3.1,41.602,16.0518,6.045005314036012
32,1,85.9,33.55,145,1.99,1587.0,0,5.0,1,188,0.7712765957446809,288.55,9.95,170.941,66.7645,7.370230641807081
25,0,65.4,20.88,141,0.89,627.0,0,5.0,1,195,0.7230769230769231,125.49,4.45,58.206,18.583199999999998,6.4425401664681985
31,0,61.1,19.72,150,1.81,1358.0,0,5.0,1,189,0.7936507936507936,271.5,9.05,110.59100000000001,35.6932,7.214504414151143
40,1,106.5,39.12,162,1.32,1176.0,0,5.0,1,180,0.9,213.84,6.6000000000000005,140.58,51.6384,7.0707241072602764
57,0,64.0,27.7,129,1.73,1004.0,0,5.0,1,163,0.7914110429447853,223.17,8.65,110.72,47.921,6.912742820493176
38,0,61.4,25.89,131,1.47,963.0,0,5.0,1,182,0.7197802197802198,192.57,7.35,90.258,38.0583,6.871091294610546
33,0,40.5,15.24,147,1.07,786.0,0,5.0,1,187,0.786096256684492,157.29000000000002,5.3500000000000005,43.335,16.306800000000003,6.668228248417403
35,1,70.1,21.88,125,1.08,743.0,0,5.0,1,185,0.6756756756756757,135.0,5.4,75.708,23.6304,6.612041034833092
41,1,94.1,35.86,139,1.13,777.0,0,5.0,1,179,0.776536312849162,157.07,5.6499999999999995,106.33299999999998,40.5218,6.656726524178391
43,1,55.5,16.76,124,1.08,663.0,0,5.0,1,177,0.7005649717514124,133.92000000000002,5.4,59.940000000000005,18.100800000000003,6.498282149476434
42,0,53.7,18.15,142,1.37,875.0,0,5.0,1,178,0.797752808988764,194.54000000000002,6.8500000000000005,73.569,24.8655,6.775366090936392
58,0,66.1,21.58,128,0.63,363.0,0,5.0,1,162,0.7901234567901234,80.64,3.15,41.642999999999994,13.5954,5.8971538676367405
46,1,103.9,33.16,148,1.18,864.0,0,5.0,1,174,0.8505747126436781,174.64,5.8999999999999995,122.602,39.12879999999999,6.762729506931879
32,0,61.7,24.72,135,1.87,1262.0,0,5.0,1,188,0.7180851063829787,252.45000000000002,9.350000000000001,115.379,46.2264,7.141245122350491
18,0,52.3,17.27,165,1.2,990.0,0,5.0,1,202,0.8168316831683168,198.0,6.0,62.75999999999999,20.724,6.898714534329988
42,0,59.5,19.65,141,1.78,1129.0,0,5.0,1,178,0.7921348314606742,250.98,8.9,105.91,34.977,7.029972911706386
24,0,72.9,23.53,127,0.86,546.0,0,5.0,1,196,0.6479591836734694,109.22,4.3,62.694,20.2358,6.304448802421981
26,0,76.7,28.87,139,1.08,751.0,0,5.0,1,194,0.7164948453608248,150.12,5.4,82.83600000000001,31.179600000000004,6.62273632394984
41,1,72.1,21.53,133,1.13,744.0,0,5.0,1,179,0.7430167597765364,150.29,5.6499999999999995,81.47299999999998,24.328899999999997,6.61338421837956
18,0,54.8,19.42,158,1.27,1003.0,0,5.0,1,202,0.7821782178217822,200.66,6.35,69.596,24.663400000000003,6.911747300251674
25,1,105.0,29.71,156,1.34,1150.0,0,5.0,1,195,0.8,209.04000000000002,6.7,140.70000000000002,39.811400000000006,7.048386408721883
41,0,55.0,22.89,169,1.45,1103.0,0,5.0,1,179,0.9441340782122905,245.04999999999998,7.25,79.75,33.1905,7.00669522683704
28,1,81.6,29.61,153,1.09,917.0,0,5.0,1,192,0.796875,166.77,5.45,88.944,32.2749,6.822197390620491
34,0,75.6,29.53,130,0.64,416.0,0,5.0,1,186,0.6989247311827957,83.2,3.2,48.384,18.8992,6.0330862217988015
25,1,81.5,31.44,159,1.93,1688.0,0,5.0,1,195,0.8153846153846154,306.87,9.65,157.295,60.6792,7.4318919168078
52,0,61.5,21.53,152,1.8,1231.0,0,5.0,1,168,0.9047619047619048,273.6,9.0,110.7,38.754000000000005,7.116394144093465
52,1,74.0,27.85,150,1.26,936.0,0,5.0,1,168,0.8928571428571429,189.0,6.3,93.24,35.091,6.842683282238422
50,0,56.4,22.31,163,1.26,924.0,0,5.0,1,170,0.9588235294117647,205.38,6.3,71.064,28.110599999999998,6.829793737512425
22,1,102.6,30.3,153,1.25,1052.0,0,5.0,1,198,0.7727272727272727,191.25,6.25,128.25,37.875,6.959398512133975
59,0,54.6,22.15,169,0.58,441.0,0,5.0,1,161,1.049689440993789,98.02,2.9,31.668,12.846999999999998,6.091309882077698
56,1,129.0,40.71,126,1.29,805.0,0,5.0,1,164,0.7682926829268293,162.54,6.45,166.41,52.5159,6.692083742506628
58,1,103.5,37.56,168,1.33,1106.0,0,5.0,1,162,1.037037037037037,223.44,6.65,137.655,49.954800000000006,7.009408932708637
45,0,59.4,26.05,142,1.15,735.0,0,5.0,1,175,0.8114285714285714,163.29999999999998,5.75,68.30999999999999,29.9575,6.601230118728877
24,0,60.1,18.76,165,1.97,1625.0,0,5.0,1,196,0.8418367346938775,325.05,9.85,118.397,36.9572,7.3938782901077555
26,1,77.7,29.61,126,1.16,804.0,0,5.0,1,194,0.6494845360824743,146.16,5.8,90.13199999999999,34.3476,6.690842277418564
25,0,41.2,15.7,144,1.49,1073.0,0,5.0,1,195,0.7384615384615385,214.56,7.45,61.388000000000005,23.392999999999997,6.97914527506881
29,1,58.6,22.61,122,1.2,805.0,0,5.0,1,191,0.6387434554973822,146.4,6.0,70.32,27.131999999999998,6.692083742506628
51,1,109.3,34.5,157,0.54,420.0,0,5.0,1,169,0.9289940828402367,84.78,2.7,59.022000000000006,18.630000000000003,6.042632833682381
50,1,69.6,18.12,139,0.97,667.0,0,5.0,1,170,0.8176470588235294,134.82999999999998,4.85,67.51199999999999,17.5764,6.504288173536645
40,0,56.2,17.54,153,1.79,1369.0,0,5.0,1,180,0.85,273.87,8.95,100.59800000000001,31.3966,7.222566018822171
41,1,71.7,18.66,168,0.51,424.0,0,5.0,1,179,0.9385474860335196,85.68,2.55,36.567,9.5166,6.052089168924417
54,1,86.0,23.09,163,1.74,1404.0,0,5.0,1,166,0.9819277108433735,283.62,8.7,149.64,40.1766,7.247792581767846
52,0,79.4,31.41,163,1.39,1020.0,0,5.0,1,168,0.9702380952380952,226.57,6.949999999999999,110.366,43.6599,6.928537818164665
57,0,78.4,29.87,149,1.01,677.0,0,5.0,1,163,0.9141104294478528,150.49,5.05,79.18400000000001,30.1687,6.519147287940395
39,0,55.4,21.64,136,1.44,979.0,0,5.0,1,181,0.7513812154696132,195.84,7.199999999999999,79.776,31.1616,6.887552571664617
44,0,61.7,25.68,129,1.41,819.0,0,5.0,1,176,0.7329545454545454,181.89,7.05,86.997,36.2088,6.709304340258298
52,1,85.5,25.81,154,1.78,1357.0,0,5.0,1,168,0.9166666666666666,274.12,8.9,152.19,45.9418,7.213768308118642
18,1,87.6,23.52,139,1.72,1315.0,0,5.0,1,202,0.6881188118811881,239.07999999999998,8.6,150.672,40.4544,7.182352111885263
52,1,82.4,27.85,137,1.01,685.0,0,5.0,1,168,0.8154761904761905,138.37,5.05,83.224,28.128500000000003,6.530877627725885
54,1,67.0,23.74,164,0.55,446.0,0,5.0,1,166,0.9879518072289156,90.2,2.75,36.85,13.057,6.102558594613569
31,0,42.3,16.52,163,1.09,888.0,0,5.0,1,189,0.8624338624338624,177.67000000000002,5.45,46.107,18.006800000000002,6.790097235513905
20,1,82.7,20.88,146,1.69,1357.0,0,5.0,1,200,0.73,246.73999999999998,8.45,139.763,35.2872,7.213768308118642
18,1,92.4,30.52,168,1.41,1303.0,0,5.0,1,202,0.8316831683168316,236.88,7.05,130.284,43.033199999999994,7.1731917424865985
22,0,63.2,26.65,155,1.02,790.0,0,5.0,1,198,0.7828282828282829,158.1,5.1,64.464,27.183,6.673297967767654
43,1,82.7,24.16,142,1.22,858.0,0,5.0,1,177,0.8022598870056498,173.24,6.1,100.894,29.4752,6.755768921984255
31,1,86.6,27.96,151,1.29,1071.0,0,5.0,1,189,0.798941798941799,194.79,6.45,111.714,36.068400000000004,6.977281341630747
56,1,129.5,34.06,129,1.0,639.0,0,5.0,1,164,0.7865853658536586,129.0,5.0,129.5,34.06,6.461468176353717
44,1,98.0,29.26,130,1.28,824.0,0,5.0,1,176,0.7386363636363636,166.4,6.4,125.44,37.4528,6.715383386334681
26,1,86.2,30.54,157,1.97,1701.0,0,5.0,1,194,0.8092783505154639,309.29,9.85,169.814,60.163799999999995,7.43955930913332
32,1,78.6,29.95,125,1.28,880.0,0,5.0,1,188,0.6648936170212766,160.0,6.4,100.60799999999999,38.336,6.78105762593618
32,0,59.0,21.41,160,0.51,408.0,0,5.0,1,188,0.851063829787234,81.6,2.55,30.09,10.9191,6.013715156042802
43,0,57.3,17.88,166,1.98,1479.0,0,5.0,1,177,0.9378531073446328,328.68,9.9,113.454,35.4024,7.299797366758161
59,1,122.3,34.24,153,0.66,500.0,0,5.0,1,161,0.9503105590062112,100.98,3.3000000000000003,80.718,22.5984,6.2166061010848646
30,1,85.3,22.43,155,1.61,1373.0,0,5.0,1,190,0.8157894736842105,249.55,8.05,137.333,36.112300000000005,7.2254814727822945
49,0,45.2,14.93,156,1.24,870.0,0,5.0,1,171,0.9122807017543859,193.44,6.2,56.048,18.5132,6.769641976852503
56,1,55.6,15.08,136,0.68,458.0,0,5.0,1,164,0.8292682926829268,92.48,3.4000000000000004,37.80800000000001,10.2544,6.129050210060545
49,1,82.8,21.78,159,1.91,1503.0,0,5.0,1,171,0.9298245614035088,303.69,9.549999999999999,158.148,41.5998,7.315883504509785
21,1,125.2,45.43,159,1.38,1207.0,0,5.0,1,199,0.7989949748743719,219.42,6.8999999999999995,172.77599999999998,62.6934,7.0967213784947605
47,0,58.5,18.26,131,1.42,837.0,0,5.0,1,173,0.7572254335260116,186.01999999999998,7.1,83.07,25.9292,6.731018100482083
54,1,86.1,22.64,140,1.17,811.0,0,5.0,1,166,0.8433734939759037,163.79999999999998,5.85,100.73699999999998,26.488799999999998,6.699500340161678
40,0,63.5,24.5,159,1.31,1041.0,0,5.0,1,180,0.8833333333333333,208.29000000000002,6.550000000000001,83.185,32.095,6.948897222313312
56,1,69.3,24.55,138,0.66,451.0,0,5.0,1,164,0.8414634146341463,91.08,3.3000000000000003,45.738,16.203000000000003,6.113682179832232
32,0,70.5,26.86,122,1.24,756.0,0,5.0,1,188,0.648936170212766,151.28,6.2,87.42,33.3064,6.6293632534374485
46,0,60.1,22.08,137,1.69,1042.0,0,5.0,1,174,0.7873563218390804,231.53,8.45,101.569,37.3152,6.949856455000773
53,1,94.1,24.75,138,0.89,608.0,0,5.0,1,167,0.8263473053892215,122.82000000000001,4.45,83.749,22.0275,6.411818267709897
30,0,79.2,30.18,166,1.26,1046.0,0,5.0,1,190,0.8736842105263158,209.16,6.3,99.792,38.0268,6.953684210870537
49,1,115.3,31.61,125,1.38,854.0,0,5.0,1,171,0.7309941520467836,172.5,6.8999999999999995,159.11399999999998,43.62179999999999,6.75110146893676
24,0,62.9,19.63,135,1.42,958.0,0,5.0,1,196,0.6887755102040817,191.7,7.1,89.318,27.874599999999997,6.8658910748834385
39,1,62.0,23.05,127,0.97,678.0,0,5.0,1,181,0.7016574585635359,123.19,4.85,60.14,22.3585,6.520621127558696
45,1,88.5,27.93,167,1.53,1265.0,0,5.0,1,175,0.9542857142857143,255.51,7.65,135.405,42.7329,7.143617602704121
19,0,73.9,23.59,137,1.28,877.0,0,5.0,1,201,0.681592039800995,175.36,6.4,94.59200000000001,30.1952,6.777646593635117
59,1,50.3,13.23,167,1.07,885.0,0,5.0,1,161,1.0372670807453417,178.69,5.3500000000000005,53.821,14.156100000000002,6.786716950605081
23,1,83.1,25.65,162,0.7,624.0,0,5.0,1,197,0.8223350253807107,113.39999999999999,3.5,58.169999999999995,17.955,6.437751649736401
45,0,65.1,20.55,158,1.46,1038.0,0,5.0,1,175,0.9028571428571428,230.68,7.3,95.04599999999999,30.003,6.946013991099227
45,1,46.6,14.54,168,1.46,1214.0,0,5.0,1,175,0.96,245.28,7.3,68.036,21.228399999999997,7.102499355774649
37,1,103.5,28.97,168,0.54,499.0,0,5.0,1,183,0.9180327868852459,90.72,2.7,55.89,15.6438,6.214608098422191
47,0,61.9,26.1,131,1.95,1150.0,0,5.0,1,173,0.7572254335260116,255.45,9.75,120.705,50.895,7.048386408721883
28,0,52.0,20.06,164,1.32,1082.0,0,5.0,1,192,0.8541666666666666,216.48000000000002,6.6000000000000005,68.64,26.4792,6.9874902470009905
45,1,113.4,38.78,129,0.83,530.0,0,5.0,1,175,0.7371428571428571,107.07,4.1499999999999995,94.122,32.1874,6.274762021241939
42,1,62.9,16.04,126,1.42,886.0,0,5.0,1,178,0.7078651685393258,178.92,7.1,89.318,22.776799999999998,6.787844982309579
56,0,40.4,12.47,165,1.23,913.0,0,5.0,1,164,1.0060975609756098,202.95,6.15,49.692,15.3381,6.81783057145415
50,0,67.1,21.91,120,0.67,362.0,0,5.0,1,170,0.7058823529411765,80.4,3.35,44.957,14.6797,5.8944028342648505
18,1,70.0,27.01,168,1.3,1201.0,0,5.0,1,202,0.8316831683168316,218.4,6.5,91.0,35.11300000000001,7.091742115095153
44,0,69.5,22.69,155,1.02,711.0,0,5.0,1,176,0.8806818181818182,158.1,5.1,70.89,23.143800000000002,6.568077911411976
30,1,107.9,39.16,140,1.08,832.0,0,5.0,1,190,0.7368421052631579,151.20000000000002,5.4,116.53200000000001,42.2928,6.725033642166843
58,1,109.0,29.88,156,1.49,1151.0,0,5.0,1,162,0.9629629629629629,232.44,7.45,162.41,44.5212,7.049254841255837
20,1,101.0,27.69,143,1.36,1070.0,0,5.0,1,200,0.715,194.48000000000002,6.800000000000001,137.36,37.65840000000001,6.976348070447749
56,1,88.5,25.86,144,1.57,1119.0,0,5.0,1,164,0.8780487804878049,226.08,7.8500000000000005,138.945,40.6002,7.02108396428914
23,1,80.9,24.97,126,1.55,1074.0,0,5.0,1,197,0.6395939086294417,195.3,7.75,125.39500000000001,38.7035,6.980075940561763
25,0,43.1,16.42,161,1.04,837.0,0,5.0,1,195,0.8256410256410256,167.44,5.2,44.824000000000005,17.076800000000002,6.731018100482083
44,0,59.1,25.58,136,1.58,967.0,0,5.0,1,176,0.7727272727272727,214.88,7.9,93.378,40.416399999999996,6.875232087276577
26,0,54.0,23.07,148,1.14,844.0,0,5.0,1,194,0.7628865979381443,168.72,5.699999999999999,61.559999999999995,26.299799999999998,6.739336627357174
54,0,72.3,22.82,149,1.27,852.0,0,5.0,1,166,0.8975903614457831,189.23,6.35,91.821,28.9814,6.748759547491679
50,1,51.1,13.03,126,0.92,574.0,0,5.0,1,170,0.7411764705882353,115.92,4.6000000000000005,47.012,11.9876,6.354370040797351
59,1,89.4,30.22,152,1.08,813.0,0,5.0,1,161,0.9440993788819876,164.16000000000003,5.4,96.552,32.6376,6.70196036600254
41,1,51.5,15.9,126,1.09,680.0,0,5.0,1,179,0.7039106145251397,137.34,5.45,56.135000000000005,17.331000000000003,6.523562306149512
32,1,87.9,24.87,143,1.52,1195.0,0,5.0,1,188,0.7606382978723404,217.36,7.6,133.608,37.8024,7.086737934510577
49,0,42.0,18.18,130,1.1,644.0,0,5.0,1,171,0.7602339181286549,143.0,5.5,46.2,19.998,6.4692503167957724
49,1,79.2,26.77,128,1.46,925.0,0,5.0,1,171,0.7485380116959064,186.88,7.3,115.632,39.084199999999996,6.8308742346461795
41,1,64.8,22.16,131,1.2,778.0,0,5.0,1,179,0.7318435754189944,157.2,6.0,77.75999999999999,26.592,6.658011045870748
58,0,63.0,19.88,154,1.58,1095.0,0,5.0,1,162,0.9506172839506173,243.32000000000002,7.9,99.54,31.4104,6.999422467507961
29,0,56.2,17.94,123,0.68,418.0,0,5.0,1,191,0.643979057591623,83.64,3.4000000000000004,38.21600000000001,12.199200000000001,6.037870919922137
56,0,52.9,19.67,155,1.1,767.0,0,5.0,1,164,0.9451219512195121,170.5,5.5,58.190000000000005,21.637000000000004,6.643789733147672
19,0,49.0,17.16,147,1.05,772.0,0,5.0,1,201,0.7313432835820896,154.35,5.25,51.45,18.018,6.650279048587422
20,1,128.2,37.87,132,0.83,603.0,0,5.0,1,200,0.66,109.55999999999999,4.1499999999999995,106.40599999999999,31.432099999999995,6.403574197934815
54,1,83.6,24.16,142,1.54,1082.0,0,5.0,1,166,0.8554216867469879,218.68,7.7,128.744,37.2064,6.9874902470009905
34,0,56.2,17.94,138,1.81,1249.0,0,5.0,1,186,0.7419354838709677,249.78,9.05,101.72200000000001,32.4714,7.1308988302963465
19,1,87.8,27.71,161,1.28,1133.0,0,5.0,1,201,0.8009950248756219,206.08,6.4,112.384,35.4688,7.033506484287697
19,1,85.9,25.1,156,1.66,1424.0,0,5.0,1,201,0.7761194029850746,258.96,8.299999999999999,142.594,41.666,7.261927092702751
45,1,51.1,14.61,158,1.44,1126.0,0,5.0,1,175,0.9028571428571428,227.51999999999998,7.199999999999999,73.584,21.0384,7.027314514039777
40,0,57.4,19.63,143,1.87,1337.0,0,5.0,1,180,0.7944444444444444,267.41,9.350000000000001,107.33800000000001,36.7081,7.198931240688173
54,1,114.9,31.17,135,1.2,802.0,0,5.0,1,166,0.8132530120481928,162.0,6.0,137.88,37.404,6.688354713946762
49,0,62.1,22.54,152,1.37,937.0,0,5.0,1,171,0.8888888888888888,208.24,6.8500000000000005,85.07700000000001,30.8798,6.843749949006225
50,1,57.1,15.65,131,1.09,707.0,0,5.0,1,170,0.7705882352941177,142.79000000000002,5.45,62.239000000000004,17.058500000000002,6.56244409369372
18,1,68.1,21.02,153,1.1,926.0,0,5.0,1,202,0.7574257425742574,168.3,5.5,74.91,23.122,6.831953565565855
36,1,69.2,25.42,126,1.23,852.0,0,5.0,1,184,0.6847826086956522,154.98,6.15,85.116,31.2666,6.748759547491679
19,0,65.2,28.22,130,1.23,800.0,0,5.0,1,201,0.6467661691542289,159.9,6.15,80.196,34.7106,6.68586094706836
43,1,108.6,36.29,150,1.33,988.0,0,5.0,1,177,0.847457627118644,199.5,6.65,144.438,48.2657,6.8966943316227125
49,0,40.0,14.69,148,1.03,686.0,0,5.0,1,171,0.8654970760233918,152.44,5.15,41.2,15.1307,6.532334292222349
23,0,41.9,16.78,132,0.56,370.0,0,5.0,1,197,0.6700507614213198,73.92,2.8000000000000003,23.464000000000002,9.3968,5.916202062607435
